id,key,name,canonical_domain,category,ai_tier,confidence,reason,error,elapsed_s
121,paddle,Paddle,jobs.ashbyhq.com,PRODUCT,1,0.95,"Paddle is a SaaS platform providing payment, subscription, and tax compliance services. AI is used as a capability (e.g., fraud detection) but not core. The company is remote-first and has open roles.",,33.57
140,uipath,Uipath,jobs.ashbyhq.com,PRODUCT,2,0.95,"UiPath is a leading RPA and AI-powered automation platform provider, making it a pure product company with AI at its core.",,34.83
179,flux-computing,Flux Computing,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,29.95
191,zapier,Zapier,jobs.ashbyhq.com,PRODUCT,1,0.95,"Zapier is a well-known SaaS automation platform with AI integration capabilities, operates fully remote, and maintains an active job board.",,32.78
203,ordio,Ordio,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,33.66
258,tilt,Tilt,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,62.73
262,nivoda,Nivoda,jobs.ashbyhq.com,PRODUCT,1,0.5,"Nivoda is a diamond sourcing platform, likely using AI for pricing insights but AI is not its core offering. Active careers page on Ashby suggests current hiring.",,29.14
288,blockdaemon,Blockdaemon,jobs.ashbyhq.com,PRODUCT,1,0.8,Blockdaemon is a known blockchain infrastructure SaaS company. AI is likely used in analytics/monitoring features but not core product. Careers page on Ashby suggests active hiring.,,40.06
290,hyperexponential,Hyperexponential,jobs.ashbyhq.com,PRODUCT,2,0.95,"Hyperexponential offers a cloud-based pricing decision intelligence platform (hx Renew) that uses AI/ML as its core differentiator for insurance underwriting and pricing. This is a B2B SaaS product, not a consultancy, staffing, or agency.",,29.89
298,camunda,Camunda,jobs.ashbyhq.com,PRODUCT,1,0.9,"Camunda is a process automation software company with open jobs, AI used as a capability in some features.",,41.03
310,rain,Rain,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,29.41
315,socket,Socket,jobs.ashbyhq.com,PRODUCT,2,0.9,"Socket is a B2B SaaS company providing AI-powered software supply chain security, with AI as a core component of its product.",,37.22
316,li.fi,Li.fi,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,40.06
318,photoroom,Photoroom,jobs.ashbyhq.com,PRODUCT,2,0.95,Photoroom is a SaaS product company with AI-powered photo editing as its core offering.,,45.49
322,squads,Squads,jobs.ashbyhq.com,STAFFING,1,0.9,"Squads is a company that builds and manages dedicated remote software development teams for clients, fitting the staffing model. They offer AI/ML expertise as part of their service, hence AI tier 1. They emphasize remote work. Careers page on Ashby suggests open roles.",,33.2
330,oyster,Oyster,jobs.ashbyhq.com,PRODUCT,1,0.95,"Oyster is a SaaS platform for global employment, with AI-powered features such as Oyster AI for contract generation and compliance. It is not a consultancy, staffing, or agency. AI is a capability (tier 1), not the core product. The company is remote-first and has open roles on its careers page.",,30.81
362,snowflake,Snowflake,jobs.ashbyhq.com,PRODUCT,2,0.95,Snowflake is a SaaS company providing a cloud data platform with integrated AI capabilities (Cortex AI) as a core feature.,,35.18
370,proxima-fusion,Proxima Fusion,jobs.ashbyhq.com,PRODUCT,1,0.9,"Proxima Fusion is a nuclear fusion startup, developing fusion reactor technology, which is a product. AI is used as a capability for plasma control and simulation, not as the core offering.",,24.87
373,limitless,Limitless,jobs.ashbyhq.com,PRODUCT,2,0.95,"Limitless is an AI-powered personal assistant product; AI is the core offering; job postings show hybrid work options with offices in NYC, SF, and remote; multiple open roles listed.",,53.87
383,deel,Deel,jobs.ashbyhq.com,PRODUCT,1,0.9,"Deel is a SaaS platform for global payroll and compliance, making it a product company. It integrates AI features but AI is not the core product. The company is remote-first and has open roles on its careers page.",,33.56
386,amo,Amo,jobs.ashbyhq.com,PRODUCT,1,0.5,Amo is a known social app startup; likely uses AI for camera features; no explicit info on remote policy.,,45.41
388,polarsteps,Polarsteps,jobs.ashbyhq.com,PRODUCT,1,0.8,"Polarsteps is a travel planning app, a product company. They likely use AI for personalized recommendations and automatic trip detection, but AI is not the core selling point. Job board exists, indicating open roles. Remote policy unknown.",,37.38
395,cow-dao,Cow Dao,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,18.2
417,illumio,Illumio,jobs.ashbyhq.com,PRODUCT,1,0.9,"Illumio is a cybersecurity product company with AI-augmented features like policy generation, not a pure AI company. Known for hybrid work policy.",,20.02
424,coram-ai,Coram Ai,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,50.33
427,raiku,Raiku,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,30.84
431,checkatrade,Checkatrade,jobs.ashbyhq.com,PRODUCT,1,0.7,"Checkatrade is a digital platform connecting homeowners with tradespeople, a product company. Likely uses AI for matching, but not core (tier 1). Home services industry. Remote policy unknown without specific job details. Actively hiring via Ashby, so has_open_roles is true.",,49.4
441,faculty,Faculty,jobs.ashbyhq.com,CONSULTANCY,2,0.8,Faculty is known as an AI consultancy company.,,53.85
445,ether.fi,Ether.fi,jobs.ashbyhq.com,PRODUCT,0,0.7,"Ether.fi is a DeFi protocol, not a consultancy or agency; no AI use apparent.",,29.6
446,atlan,Atlan,jobs.ashbyhq.com,PRODUCT,2,0.9,"Atlan is a SaaS data platform with AI core features, remote-first company with open roles.",,21.54
462,matter-labs,Matter Labs,jobs.ashbyhq.com,PRODUCT,0,0.95,"Matter Labs is the company behind zkSync, a Layer 2 blockchain scaling solution. They are a product company, not AI-focused. Their technology uses zero-knowledge proofs, not AI.",,42.1
466,deliveroo,Deliveroo,jobs.ashbyhq.com,UNKNOWN,1,0.8,"Deliveroo is a food delivery service, not a consultancy, staffing, agency, or SaaS product. AI is used for logistics and recommendations but is not core to the product. Careers page exists, indicating open roles. Remote policy unknown.",,44.4
481,playson,Playson,jobs.ashbyhq.com,PRODUCT,0,0.8,"Playson is a game developer creating slots and casino games, so it is a product company. No evidence of AI being core to products, so ai_tier 0. Industry iGaming, remote policy unknown, but likely has open roles via Ashby careers page.",,58.36
484,homebase,Homebase,jobs.ashbyhq.com,PRODUCT,1,0.7,Homebase is a SaaS product for small business workforce management; AI is likely used for scheduling automation but not the core offering.,,28.86
488,lendable,Lendable,jobs.ashbyhq.com,PRODUCT,2,0.9,"Lendable is a fintech product company offering loans and financial services. They have open roles for ML engineers and data scientists, indicating AI is core to their credit decisioning product. Their careers page states a hybrid work policy.",,51.28
495,causaly,Causaly,jobs.ashbyhq.com,PRODUCT,2,0.9,"Causaly is an AI-powered SaaS platform for biomedical research, making AI core to its product. Industry is life sciences. Remote policy and open roles are unconfirmed from provided URLs.",,29.87
531,mollie,Mollie,jobs.ashbyhq.com,PRODUCT,1,0.8,Mollie is a payment service provider (SaaS product). AI likely used for fraud detection but not core to product.,,37.83
559,primer,Primer,jobs.ashbyhq.com,PRODUCT,2,0.95,Primer is an AI product company providing NLP-based intelligence analysis tools.,,48.5
563,found,Found,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,37.31
567,plain,Plain,plain.com,PRODUCT,2,0.95,"Plain is a SaaS platform offering AI-powered customer support solutions. AI features like Ari, Sidekick, and Lookup are integral to the product. Careers page lists multiple open positions with both remote and location-specific roles, indicating a hybrid remote policy.",,43.86
568,rerun,Rerun,jobs.ashbyhq.com,PRODUCT,1,0.8,"Rerun is an open-source tool for visualizing multimodal data, commonly used in AI/ML workflows, making it a product company with AI as a capability.",,35.53
598,watershed,Watershed,jobs.ashbyhq.com,PRODUCT,1,0.5,Watershed is a climate technology company offering a SaaS platform for carbon accounting. AI is used as a capability but not core to the product. No data from provided pages to determine remote policy or open roles.,,33.54
604,salonkee,Salonkee,jobs.ashbyhq.com,PRODUCT,1,0.4,"Salonkee is known as a SaaS platform for salon management. No home/careers page content provided; inferred from public knowledge. AI tier 1 assumed for potential smart features. Remote policy unknown, but likely has open roles as they use Ashby HQ.",,30.47
607,aspora,Aspora,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,29.88
613,percona,Percona,jobs.ashbyhq.com,PRODUCT,1,0.9,"Percona is a database software and services company with SaaS products like Percona Monitoring and Management; AI is used as a capability (e.g., anomaly detection) but is not core to the product. They are remote-first with open roles.",,33.72
616,polygon-labs,Polygon Labs,jobs.ashbyhq.com,PRODUCT,0,0.9,Polygon Labs is a product company offering a blockchain scaling platform; AI is not core to their product.,,31.27
652,multiverse,Multiverse,jobs.ashbyhq.com,PRODUCT,2,0.8,"Multiverse is a tech platform for apprenticeships with AI-powered matching, categorizing as a SaaS product company where AI is core to its offering.",,43.08
664,omni,Omni,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,46.06
669,clearbank,Clearbank,jobs.ashbyhq.com,UNKNOWN,0,0.7,"Clearbank is a financial services company, not an AI consultancy, staffing, agency, or SaaS product, and no information on AI roles.",,32.76
689,gorgias,Gorgias,jobs.ashbyhq.com,PRODUCT,2,0.9,"Gorgias is a helpdesk platform that leverages AI to automate customer support, making AI a core part of their product offering. They are a SaaS company, not a consultancy or agency. The remote policy is hybrid based on typical setup; careers page indicates open roles.",,49.74
698,tavus,Tavus,jobs.ashbyhq.com,PRODUCT,2,0.9,"Tavus is an AI video personalization platform, making it a product company with AI at its core.",,40.27
704,stream,Stream,jobs.ashbyhq.com,PRODUCT,1,0.8,Stream is a SaaS company providing chat and activity feed APIs; AI features are available but not core to the product.,,19.49
707,phantom,Phantom,jobs.ashbyhq.com,PRODUCT,0,0.7,"Based on company name and domain, Phantom is likely the crypto wallet product company.",,40.77
711,datatonic,Datatonic,jobs.ashbyhq.com,CONSULTANCY,2,0.95,"Datatonic is a cloud data and AI consultancy specializing in GenAI and ML solutions, as evidenced by their careers page seeking engineers for GenAI & ML platforms. They offer AI/ML services to clients, indicating core AI focus. The role description mentions hybrid working with 2 office days per week, and multiple open positions are listed.",,44.32
728,quicknode,Quicknode,jobs.ashbyhq.com,PRODUCT,0,0.9,"Quicknode offers blockchain node services and APIs as a platform (SaaS), with no indication of AI consultancy, staffing, or agency services. AI is not a core or marketed capability.",,34.66
729,allica-bank,Allica Bank,jobs.ashbyhq.com,PRODUCT,1,0.7,"Allica Bank is a fintech product company (not strictly SaaS but fits PRODUCT best). AI is used for credit scoring and fraud detection but not core to customer offering, so tier 1. Remote policy unclear from provided data, but careers page exists so open roles likely.",,51.98
742,chainlink-labs,Chainlink Labs,jobs.ashbyhq.com,PRODUCT,1,0.8,"Chainlink Labs develops the Chainlink decentralized oracle network, a blockchain infrastructure product. They are not an AI consultancy or staffing firm. AI is not core but they offer integration capabilities via Chainlink Functions that can connect to AI APIs, making AI a supporting capability. Industry is blockchain/web3. Remote policy cannot be confirmed without accessing the careers page. The presence of a careers link suggests open roles, so has_open_roles is set to true.",,65.02
760,pplwise,Pplwise,jobs.ashbyhq.com,UNKNOWN,0,0.5,heuristic fallback,,45.6
